 48. BEFHIJKL: 1A=3E, 1B=3J, 1D=3B, 1E=3F, 1G=3I, 1I=3H, 1K=3L, 1L=3K
 49. BEFGIJKL: 1A=3E, 1B=3J, 1D=3B, 1E=3F, 1G=3I, 1I=3G, 1K=3L, 1L=3K
 50. BEFGHJKL: 1A=3E, 1B=3J, 1D=3B, 1E=3F, 1G=3H, 1I=3G, 1K=3L, 1L=3K
 51. BEFGHIKL: 1A=3E, 1B=3G, 1D=3B, 1E=3F, 1G=3I, 1I=3H, 1K=3L, 1L=3K
 52. BEFGHIJL: 1A=3E, 1B=3J, 1D=3B, 1E=3F, 1G=3H, 1I=3G, 1K=3L, 1L=3I
 53. BEFGHIJK: 1A=3E, 1B=3J, 1D=3B, 1E=3F, 1G=3H, 1I=3G, 1K=3I, 1L=3K
 54. BDGHIJKL: 1A=3H, 1B=3J, 1D=3B, 1E=3D, 1G=3I, 1I=3G, 1K=3L, 1L=3K
 55. BDFHIJKL: 1A=3H, 1B=3J, 1D=3B, 1E=3D, 1G=3I, 1I=3F, 1K=3L, 1L=3K
 56. BDFGIJKL: 1A=3I, 1B=3G, 1D=3B, 1E=3D, 1G=3J, 1I=3F, 1K=3L, 1L=3K
 57. BDFGHJKL: 1A=3H, 1B=3G, 1D=3B, 1E=3D, 1G=3J, 1I=3F, 1K=3L, 1L=3K
 58. BDFGHIKL: 1A=3H, 1B=3G, 1D=3B, 1E=3D, 1G=3I, 1I=3F, 1K=3L, 1L=3K
 59. BDFGHIJL: 1A=3H, 1B=3G, 1D=3B, 1E=3D, 1G=3J, 1I=3F, 1K=3L, 1L=3I
 60. BDFGHIJK: 1A=3H, 1B=3G, 1D=3B, 1E=3D, 1G=3J, 1I=3F, 1K=3I, 1L=3K
 61. BDEHIJKL: 1A=3E, 1B=3J, 1D=3B, 1E=3D, 1G=3I, 1I=3H, 1K=3L, 1L=3K
 62. BDEGIJKL: 1A=3E, 1B=3J, 1D=3B, 1E=3D, 1G=3I, 1I=3G, 1K=3L, 1L=3K
 63. BDEGHJKL: 1A=3E, 1B=3J, 1D=3B, 1E=3D, 1G=3H, 1I=3G, 1K=3L, 1L=3K
 64. BDEGHIKL: 1A=3E, 1B=3G, 1D=3B, 1E=3D, 1G=3I, 1I=3H, 1K=3L, 1L=3K
 65. BDEGHIJL: 1A=3E, 1B=3J, 1D=3B, 1E=3D, 1G=3H, 1I=3G, 1K=3L, 1L=3I
 66. BDEGHIJK: 1A=3E, 1B=3J, 1D=3B, 1E=3D, 1G=3H, 1I=3G, 1K=3I, 1L=3K
 67. BDEFIJKL: 1A=3E, 1B=3J, 1D=3B, 1E=3D, 1G=3I, 1I=3F, 1K=3L, 1L=3K
 68. BDEFHJKL: 1A=3E, 1B=3J, 1D=3B, 1E=3D, 1G=3H, 1I=3F, 1K=3L, 1L=3K
 69. BDEFHIKL: 1A=3E, 1B=3I, 1D=3B, 1E=3D, 1G=3H, 1I=3F, 1K=3L, 1L=3K
 70. BDEFHIJL: 1A=3E, 1B=3J, 1D=3B, 1E=3D, 1G=3H, 1I=3F, 1K=3L, 1L=3I
 71. BDEFHIJK: 1A=3E, 1B=3J, 1D=3B, 1E=3D, 1G=3H, 1I=3F, 1K=3I, 1L=3K
 72. BDEFGJKL: 1A=3E, 1B=3G, 1D=3B, 1E=3D, 1G=3J, 1I=3F, 1K=3L, 1L=3K
 73. BDEFGIKL: 1A=3E, 1B=3G, 1D=3B, 1E=3D, 1G=3I, 1I=3F, 1K=3L, 1L=3K
 74. BDEFGIJL: 1A=3E, 1B=3G, 1D=3B, 1E=3D, 1G=3J, 1I=3F, 1K=3L, 1L=3I
 75. BDEFGIJK: 1A=3E, 1B=3G, 1D=3B, 1E=3D, 1G=3J, 1I=3F, 1K=3I, 1L=3K
 76. BDEFGHKL: 1A=3E, 1B=3G, 1D=3B, 1E=3D, 1G=3H, 1I=3F, 1K=3L, 1L=3K
 77. BDEFGHJL: 1A=3H, 1B=3G, 1D=3B, 1E=3D, 1G=3J, 1I=3F, 1K=3L, 1L=3E
 78. BDEFGHJK: 1A=3H, 1B=3G, 1D=3B, 1E=3D, 1G=3J, 1I=3F, 1K=3E, 1L=3K
 79. BDEFGHIL: 1A=3E, 1B=3G, 1D=3B, 1E=3D, 1G=3H, 1I=3F, 1K=3L, 1L=3I
 80. BDEFGHIK: 1A=3E, 1B=3G, 1D=3B, 1E=3D, 1G=3H, 1I=3F, 1K=3I, 1L=3K
 81. BDEFGHIJ: 1A=3H, 1B=3G, 1D=3B, 1E=3D, 1G=3J, 1I=3F, 1K=3E, 1L=3I
 82. BCGHIJKL: 1A=3H, 1B=3J, 1D=3B, 1E=3C, 1G=3I, 1I=3G, 1K=3L, 1L=3K
 83. BCFHIJKL: 1A=3H, 1B=3J, 1D=3B, 1E=3C, 1G=3I, 1I=3F, 1K=3L, 1L=3K
 84. BCFGIJKL: 1A=3I, 1B=3G, 1D=3B, 1E=3C, 1G=3J, 1I=3F, 1K=3L, 1L=3K
 85. BCFGHJKL: 1A=3H, 1B=3G, 1D=3B, 1E=3C, 1G=3J, 1I=3F, 1K=3L, 1L=3K
 86. BCFGHIKL: 1A=3H, 1B=3G, 1D=3B, 1E=3C, 1G=3I, 1I=3F, 1K=3L, 1L=3K
 87. BCFGHIJL: 1A=3H, 1B=3G, 1D=3B, 1E=3C, 1G=3J, 1I=3F, 1K=3L, 1L=3I
 88. BCFGHIJK: 1A=3H, 1B=3G, 1D=3B, 1E=3C, 1G=3J, 1I=3F, 1K=3I, 1L=3K
 89. BCEHIJKL: 1A=3E, 1B=3J, 1D=3B, 1E=3C, 1G=3I, 1I=3H, 1K=3L, 1L=3K
 90. BCEGIJKL: 1A=3E, 1B=3J, 1D=3B, 1E=3C, 1G=3I, 1I=3G, 1K=3L, 1L=3K
 91. BCEGHJKL: 1A=3E, 1B=3J, 1D=3B, 1E=3C, 1G=3H, 1I=3G, 1K=3L, 1L=3K
 92. BCEGHIKL: 1A=3E, 1B=3G, 1D=3B, 1E=3C, 1G=3I, 1I=3H, 1K=3L, 1L=3K
 93. BCEGHIJL: 1A=3E, 1B=3J, 1D=3B, 1E=3C, 1G=3H, 1I=3G, 1K=3L, 1L=3I
 94. BCEGHIJK: 1A=3E, 1B=3J, 1D=3B, 1E=3C, 1G=3H, 1I=3G, 1K=3I, 1L=3K
 95. BCEFIJKL: 1A=3E, 1B=3J, 1D=3B, 1E=3C, 1G=3I, 1I=3F, 1K=3L, 1L=3K
 96. BCEFHJKL: 1A=3E, 1B=3J, 1D=3B, 1E=3C, 1G=3H, 1I=3F, 1K=3L, 1L=3K
 97. BCEFHIKL: 1A=3E, 1B=3I, 1D=3B, 1E=3C, 1G=3H, 1I=3F, 1K=3L, 1L=3K
 98. BCEFHIJL: 1A=3E, 1B=3J, 1D=3B, 1E=3C, 1G=3H, 1I=3F, 1K=3L, 1L=3I
 99. BCEFHIJK: 1A=3E, 1B=3J, 1D=3B, 1E=3C, 1G=3H, 1I=3F, 1K=3I, 1L=3K
100. BCEFGJKL: 1A=3E, 1B=3G, 1D=3B, 1E=3C, 1G=3J, 1I=3F, 1K=3L, 1L=3K
101. BCEFGIKL: 1A=3E, 1B=3G, 1D=3B, 1E=3C, 1G=3I, 1I=3F, 1K=3L, 1L=3K
102. BCEFGIJL: 1A=3E, 1B=3G, 1D=3B, 1E=3C, 1G=3J, 1I=3F, 1K=3L, 1L=3I
103. BCEFGIJK: 1A=3E, 1B=3G, 1D=3B, 1E=3C, 1G=3J, 1I=3F, 1K=3I, 1L=3K
104. BCEFGHKL: 1A=3E, 1B=3G, 1D=3B, 1E=3C, 1G=3H, 1I=3F, 1K=3L, 1L=3K
105. BCEFGHJL: 1A=3H, 1B=3G, 1D=3B, 1E=3C, 1G=3J, 1I=3F, 1K=3L, 1L=3E
106. BCEFGHJK: 1A=3H, 1B=3G, 1D=3B, 1E=3C, 1G=3J, 1I=3F, 1K=3E, 1L=3K
107. BCEFGHIL: 1A=3E, 1B=3G, 1D=3B, 1E=3C, 1G=3H, 1I=3F, 1K=3L, 1L=3I
108. BCEFGHIK: 1A=3E, 1B=3G, 1D=3B, 1E=3C, 1G=3H, 1I=3F, 1K=3I, 1L=3K
109. BCEFGHIJ: 1A=3H, 1B=3G, 1D=3B, 1E=3C, 1G=3J, 1I=3F, 1K=3E, 1L=3I
110. BCDHIJKL: 1A=3H, 1B=3J, 1D=3B, 1E=3C, 1G=3I, 1I=3D, 1K=3L, 1L=3K
111. BCDGIJKL: 1A=3I, 1B=3G, 1D=3B, 1E=3C, 1G=3J, 1I=3D, 1K=3L, 1L=3K
112. BCDGHJKL: 1A=3H, 1B=3G, 1D=3B, 1E=3C, 1G=3J, 1I=3D, 1K=3L, 1L=3K
113. BCDGHIKL: 1A=3H, 1B=3G, 1D=3B, 1E=3C, 1G=3I, 1I=3D, 1K=3L, 1L=3K
114. BCDGHIJL: 1A=3H, 1B=3G, 1D=3B, 1E=3C, 1G=3J, 1I=3D, 1K=3L, 1L=3I
115. BCDGHIJK: 1A=3H, 1B=3G, 1D=3B, 1E=3C, 1G=3J, 1I=3D, 1K=3I, 1L=3K
116. BCDFIJKL: 1A=3C, 1B=3J, 1D=3B, 1E=3D, 1G=3I, 1I=3F, 1K=3L, 1L=3K
117. BCDFHJKL: 1A=3C, 1B=3J, 1D=3B, 1E=3D, 1G=3H, 1I=3F, 1K=3L, 1L=3K
118. BCDFHIKL: 1A=3C, 1B=3I, 1D=3B, 1E=3D, 1G=3H, 1I=3F, 1K=3L, 1L=3K
119. BCDFHIJL: 1A=3C, 1B=3J, 1D=3B, 1E=3D, 1G=3H, 1I=3F, 1K=3L, 1L=3I
120. BCDFHIJK: 1A=3C, 1B=3J, 1D=3B, 1E=3D, 1G=3H, 1I=3F, 1K=3I, 1L=3K
121. BCDFGJKL: 1A=3C, 1B=3G, 1D=3B, 1E=3D, 1G=3J, 1I=3F, 1K=3L, 1L=3K
122. BCDFGIKL: 1A=3C, 1B=3G, 1D=3B, 1E=3D, 1G=3I, 1I=3F, 1K=3L, 1L=3K
123. BCDFGIJL: 1A=3C, 1B=3G, 1D=3B, 1E=3D, 1G=3J, 1I=3F, 1K=3L, 1L=3I
124. BCDFGIJK: 1A=3C, 1B=3G, 1D=3B, 1E=3D, 1G=3J, 1I=3F, 1K=3I, 1L=3K
125. BCDFGHKL: 1A=3C, 1B=3G, 1D=3B, 1E=3D, 1G=3H, 1I=3F, 1K=3L, 1L=3K
126. BCDFGHJL: 1A=3C, 1B=3G, 1D=3B, 1E=3D, 1G=3H, 1I=3F, 1K=3L, 1L=3J
127. BCDFGHJK: 1A=3H, 1B=3G, 1D=3B, 1E=3C, 1G=3J, 1I=3F, 1K=3D, 1L=3K
128. BCDFGHIL: 1A=3C, 1B=3G, 1D=3B, 1E=3D, 1G=3H, 1I=3F, 1K=3L, 1L=3I
129. BCDFGHIK: 1A=3C, 1B=3G, 1D=3B, 1E=3D, 1G=3H, 1I=3F, 1K=3I, 1L=3K
130. BCDFGHIJ: 1A=3H, 1B=3G, 1D=3B, 1E=3C, 1G=3J, 1I=3F, 1K=3D, 1L=3I
131. BCDEIJKL: 1A=3E, 1B=3J, 1D=3B, 1E=3C, 1G=3I, 1I=3D, 1K=3L, 1L=3K
132. BCDEHJKL: 1A=3E, 1B=3J, 1D=3B, 1E=3C, 1G=3H, 1I=3D, 1K=3L, 1L=3K
133. BCDEHIKL: 1A=3E, 1B=3I, 1D=3B, 1E=3C, 1G=3H, 1I=3D, 1K=3L, 1L=3K
134. BCDEHIJL: 1A=3E, 1B=3J, 1D=3B, 1E=3C, 1G=3H, 1I=3D, 1K=3L, 1L=3I
135. BCDEHIJK: 1A=3E, 1B=3J, 1D=3B, 1E=3C, 1G=3H, 1I=3D, 1K=3I, 1L=3K
136. BCDEGJKL: 1A=3E, 1B=3G, 1D=3B, 1E=3C, 1G=3J, 1I=3D, 1K=3L, 1L=3K
137. BCDEGIKL: 1A=3E, 1B=3G, 1D=3B, 1E=3C, 1G=3I, 1I=3D, 1K=3L, 1L=3K
138. BCDEGIJL: 1A=3E, 1B=3G, 1D=3B, 1E=3C, 1G=3J, 1I=3D, 1K=3L, 1L=3I
139. BCDEGIJK: 1A=3E, 1B=3G, 1D=3B, 1E=3C, 1G=3J, 1I=3D, 1K=3I, 1L=3K
140. BCDEGHKL: 1A=3E, 1B=3G, 1D=3B, 1E=3C, 1G=3H, 1I=3D, 1K=3L, 1L=3K
141. BCDEGHJL: 1A=3H, 1B=3G, 1D=3B, 1E=3C, 1G=3J, 1I=3D, 1K=3L, 1L=3E
142. BCDEGHJK: 1A=3H, 1B=3G, 1D=3B, 1E=3C, 1G=3J, 1I=3D, 1K=3E, 1L=3K
143. BCDEGHIL: 1A=3E, 1B=3G, 1D=3B, 1E=3C, 1G=3H, 1I=3D, 1K=3L, 1L=3I
144. BCDEGHIK: 1A=3E, 1B=3G, 1D=3B, 1E=3C, 1G=3H, 1I=3D, 1K=3I, 1L=3K
145. BCDEGHIJ: 1A=3H, 1B=3G, 1D=3B, 1E=3C, 1G=3J, 1I=3D, 1K=3E, 1L=3I
146. BCDEFJKL: 1A=3C, 1B=3J, 1D=3B, 1E=3D, 1G=3E, 1I=3F, 1K=3L, 1L=3K
147. BCDEFIKL: 1A=3C, 1B=3E, 1D=3B, 1E=3D, 1G=3I, 1I=3F, 1K=3L, 1L=3K
148. BCDEFIJL: 1A=3C, 1B=3J, 1D=3B, 1E=3D, 1G=3E, 1I=3F, 1K=3L, 1L=3I
149. BCDEFIJK: 1A=3C, 1B=3J, 1D=3B, 1E=3D, 1G=3E, 1I=3F, 1K=3I, 1L=3K
150. BCDEFHKL: 1A=3C, 1B=3E, 1D=3B, 1E=3D, 1G=3H, 1I=3F, 1K=3L, 1L=3K
151. BCDEFHJL: 1A=3C, 1B=3J, 1D=3B, 1E=3D, 1G=3H, 1I=3F, 1K=3L, 1L=3E
152. BCDEFHJK: 1A=3C, 1B=3J, 1D=3B, 1E=3D, 1G=3H, 1I=3F, 1K=3E, 1L=3K
153. BCDEFHIL: 1A=3C, 1B=3E, 1D=3B, 1E=3D, 1G=3H, 1I=3F, 1K=3L, 1L=3I
154. BCDEFHIK: 1A=3C, 1B=3E, 1D=3B, 1E=3D, 1G=3H, 1I=3F, 1K=3I, 1L=3K
155. BCDEFHIJ: 1A=3C, 1B=3J, 1D=3B, 1E=3D, 1G=3H, 1I=3F, 1K=3E, 1L=3I
156. BCDEFGKL: 1A=3C, 1B=3G, 1D=3B, 1E=3D, 1G=3E, 1I=3F, 1K=3L, 1L=3K
157. BCDEFGJL: 1A=3C, 1B=3G, 1D=3B, 1E=3D, 1G=3J, 1I=3F, 1K=3L, 1L=3E
